row_number,Gender,Age,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,DistanceFromHome,RelationshipSatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,StockOptionLevel,TrainingTimesLastYear,JobLevel,Attrition,YearsAtCompany
366,Female,46,Married,Master,Medical,Research & Development,Manufacturing Director,Non-Travel,5258,16044,1144,30,14,7,High,High,High,High,Best,Excellent,2,7,0,0,0,No,0,2,2,No,1
367,Male,41,Single,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,9355,9558,143,56,18,4,High,Low,High,Medium,Better,Excellent,1,8,7,7,7,No,0,5,2,Yes,8
368,Male,50,Single,Bachelor,Technical Degree,Research & Development,Healthcare Representative,Travel_Rarely,10496,2755,1046,100,15,10,Very High,Very High,Medium,Very High,Better,Excellent,6,20,3,1,3,No,0,2,3,No,4
369,Male,40,Married,College,Marketing,Sales,Sales Executive,Travel_Rarely,6380,6110,575,68,12,22,Low,High,Medium,High,Better,Excellent,2,8,4,1,0,Yes,2,6,2,Yes,6
370,Male,31,Single,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2657,7551,408,42,16,9,Very High,High,Medium,Medium,Better,Excellent,0,3,2,2,2,Yes,0,5,1,No,2
371,Female,21,Single,Bachelor,Life Sciences,Sales,Sales Representative,Travel_Rarely,2716,25422,156,90,15,12,Very High,High,Very High,Medium,Better,Excellent,1,1,0,0,0,No,0,0,1,Yes,1
372,Male,29,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2201,18168,1283,54,16,23,Very High,Very High,High,Very High,Better,Excellent,9,6,2,1,2,No,0,4,1,No,3
373,Male,35,Single,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,6540,19394,755,97,19,9,High,High,Medium,Medium,Better,Excellent,9,10,1,0,0,No,0,5,2,No,1
374,Male,27,Divorced,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3816,17881,1469,82,11,1,Medium,Very High,High,Medium,Better,Excellent,1,5,2,0,4,No,1,2,1,No,5
375,Male,28,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,5253,20750,304,92,16,9,Very High,Medium,High,Very High,Better,Excellent,1,7,5,0,7,No,0,1,2,No,7
376,Male,49,Single,Bachelor,Other,Research & Development,Healthcare Representative,Travel_Rarely,10965,12066,1261,31,24,7,High,Medium,Medium,High,Better,Outstanding,8,26,2,0,0,No,0,2,3,No,5
377,Female,51,Married,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,4936,14862,1178,87,11,14,High,High,High,Very High,Good,Excellent,4,18,7,0,7,No,1,2,2,No,7
378,Female,36,Married,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2543,11868,329,96,13,2,Medium,Very High,High,High,Better,Excellent,4,6,2,2,2,No,1,3,1,No,2
379,Male,34,Single,Bachelor,Marketing,Sales,Sales Executive,Non-Travel,5304,4652,1362,67,13,19,Medium,Low,Very High,Very High,Good,Excellent,8,9,2,0,4,Yes,0,3,2,Yes,5
380,Female,55,Single,Bachelor,Life Sciences,Research & Development,Manager,Travel_Rarely,16659,23258,1311,97,13,2,High,High,High,Very High,Better,Excellent,2,30,4,1,2,Yes,0,2,4,No,5
381,Female,24,Divorced,Master,Marketing,Sales,Sales Executive,Travel_Rarely,4260,5915,1371,77,12,10,Very High,Very High,High,High,Best,Excellent,1,5,2,0,3,Yes,1,2,2,No,5
382,Male,30,Married,Below College,Technical Degree,Sales,Sales Representative,Travel_Rarely,2476,17434,202,72,18,2,Low,High,High,Medium,Better,Excellent,1,1,0,0,0,No,1,3,1,No,1
383,Male,26,Single,Below College,Technical Degree,Research & Development,Research Scientist,Travel_Frequently,3102,6582,575,73,22,3,High,High,High,Low,Better,Outstanding,0,7,4,0,4,No,0,2,1,Yes,6
384,Female,22,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2244,24440,253,43,13,11,Very High,Low,High,Medium,Better,Excellent,1,2,1,1,2,No,1,1,1,No,2
385,Male,36,Married,College,Medical,Sales,Sales Executive,Travel_Rarely,7596,3809,164,61,13,2,Medium,Medium,Medium,High,Better,Excellent,1,10,9,9,0,No,2,2,3,No,10
386,Male,30,Single,Bachelor,Technical Degree,Research & Development,Research Scientist,Travel_Frequently,2285,3427,464,40,23,4,High,High,High,Very High,Better,Outstanding,9,3,0,0,0,Yes,0,4,1,Yes,1
387,Female,37,Divorced,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3034,26914,1107,95,12,14,High,Very High,High,Low,Good,Excellent,1,18,7,12,17,No,1,2,1,No,18
388,Female,40,Divorced,College,Marketing,Sales,Sales Executive,Travel_Rarely,5715,22553,759,46,12,2,High,Very High,High,Medium,Better,Excellent,7,8,4,1,3,No,2,5,2,No,5
389,Female,42,Divorced,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2576,20490,201,95,16,1,Medium,Medium,High,Low,Better,Excellent,3,8,2,1,2,No,1,5,1,No,5
390,Male,37,Single,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,4197,21123,1305,49,12,10,Very High,High,High,Medium,Good,Excellent,2,18,0,0,1,Yes,0,2,2,No,1
391,Male,43,Divorced,Bachelor,Life Sciences,Research & Development,Research Director,Travel_Rarely,14336,4345,982,59,11,12,High,Low,Medium,Medium,Better,Excellent,1,25,10,3,9,No,1,3,4,No,25
392,Female,40,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3448,13436,555,78,22,2,Medium,Medium,Medium,High,Better,Outstanding,6,20,0,0,0,No,1,3,2,No,1
393,Male,54,Married,College,Medical,Research & Development,Research Director,Travel_Rarely,19406,8509,821,86,11,5,High,Low,High,Low,Good,Excellent,4,24,2,1,2,No,1,4,5,No,4
394,Female,34,Married,Master,Marketing,Sales,Sales Executive,Non-Travel,6538,12740,1381,72,15,4,Low,High,High,High,Better,Excellent,9,6,2,1,2,No,1,3,2,No,3
395,Female,31,Married,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4306,4156,480,31,12,7,Medium,Medium,High,Low,Bad,Excellent,1,13,10,3,12,No,1,5,2,No,13
396,Male,43,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,2258,15238,313,61,20,21,Low,Very High,High,Very High,Better,Outstanding,7,8,2,1,2,No,1,1,1,No,3
397,Female,43,Divorced,Master,Other,Research & Development,Healthcare Representative,Travel_Rarely,4522,2227,1473,74,14,8,Very High,High,High,High,Better,Excellent,4,8,2,0,2,Yes,0,3,2,No,5
398,Female,25,Single,College,Life Sciences,Sales,Sales Executive,Travel_Rarely,4487,12090,891,99,11,4,Medium,Medium,Medium,Very High,Better,Excellent,1,5,4,1,3,Yes,0,3,2,No,5
399,Female,37,Married,Doctor,Medical,Research & Development,Research Scientist,Non-Travel,4449,23866,1063,72,15,25,Low,Medium,High,High,Better,Excellent,3,15,11,10,7,Yes,2,2,2,No,13
400,Male,31,Married,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,2218,16193,329,98,12,1,High,Very High,Medium,Low,Better,Excellent,1,4,2,3,2,No,1,3,1,No,4
401,Male,39,Divorced,Below College,Life Sciences,Research & Development,Manager,Travel_Frequently,19197,8213,1218,52,14,1,High,Medium,High,High,Better,Excellent,1,21,8,1,6,Yes,1,3,5,No,21
402,Female,56,Married,Bachelor,Life Sciences,Sales,Sales Executive,Travel_Frequently,13212,18256,906,86,11,6,Very High,High,Very High,Low,Good,Excellent,9,36,7,7,7,No,3,0,4,No,7
403,Female,30,Single,Bachelor,Technical Degree,Sales,Sales Executive,Travel_Rarely,6577,19558,1082,83,11,12,Medium,Medium,High,High,Better,Excellent,0,6,4,4,4,No,0,6,2,No,5
404,Male,41,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,8392,19566,645,49,16,1,High,Medium,Very High,Low,Better,Excellent,1,10,7,0,7,No,1,2,3,No,10
405,Male,28,Divorced,College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4558,13535,1300,79,12,17,Very High,High,High,Low,Better,Excellent,1,10,0,1,8,No,1,2,2,No,10
406,Male,25,Married,Bachelor,Medical,Research & Development,Laboratory Technician,Travel_Rarely,4031,9396,688,91,13,3,High,Low,High,Low,Better,Excellent,5,6,2,0,2,No,1,5,1,Yes,2
407,Male,52,Married,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,7969,19609,319,39,14,3,High,Very High,Medium,High,Better,Excellent,2,28,4,0,4,Yes,0,4,3,No,5
408,Male,45,Married,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2654,9655,192,69,21,10,Very High,Low,High,Very High,Good,Outstanding,3,8,2,0,2,No,2,3,1,No,2
409,Female,52,Married,College,Life Sciences,Research & Development,Manager,Travel_Rarely,16555,10310,1490,30,13,4,Very High,Very High,High,Very High,Bad,Excellent,2,31,2,1,4,No,0,2,4,No,5
410,Female,42,Divorced,College,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,4556,12932,532,92,11,29,Medium,Low,High,High,Better,Excellent,2,19,4,0,2,No,1,3,2,No,5
411,Female,30,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,6091,24793,317,43,20,2,High,High,Low,Very High,Better,Outstanding,2,11,4,0,2,No,0,2,2,No,5
412,Female,60,Married,Bachelor,Life Sciences,Research & Development,Manager,Travel_Rarely,19566,3854,422,41,11,7,Very High,Low,High,Low,Bad,Excellent,5,33,8,11,10,No,0,5,5,No,29
413,Female,46,Divorced,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,4810,26314,1485,87,14,18,High,High,High,High,Good,Excellent,2,19,7,0,8,No,1,5,2,No,10
414,Female,42,Married,Master,Technical Degree,Research & Development,Healthcare Representative,Travel_Frequently,4523,4386,1368,88,11,28,Very High,Very High,Medium,Very High,Best,Excellent,0,7,5,0,4,No,3,4,2,No,6
415,Female,24,Single,Below College,Technical Degree,Sales,Sales Representative,Travel_Rarely,3202,21972,1448,62,16,1,Medium,Low,High,Medium,Better,Excellent,1,6,3,1,4,Yes,0,4,1,Yes,5
416,Female,34,Divorced,College,Marketing,Sales,Sales Representative,Travel_Frequently,2351,12253,296,33,16,6,Very High,Very High,Low,High,Good,Excellent,0,3,2,1,0,No,1,3,1,Yes,2
417,Male,38,Married,College,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,1702,12106,1490,42,23,2,High,Very High,High,Very High,Better,Outstanding,1,1,0,0,0,Yes,1,3,1,No,1
418,Female,40,Married,Master,Life Sciences,Sales,Manager,Travel_Rarely,18041,13022,1398,79,14,2,Very High,High,High,High,Better,Excellent,0,21,15,1,12,No,0,2,5,No,20
419,Female,26,Divorced,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2886,3032,1349,90,22,23,Medium,Low,High,Very High,Bad,Outstanding,1,3,2,0,2,No,2,3,1,No,3
420,Male,30,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,2097,16734,1400,53,15,3,High,High,High,Very High,Bad,Excellent,4,9,3,1,4,No,1,3,1,No,5
421,Male,29,Married,Master,Medical,Research & Development,Research Director,Travel_Rarely,11935,21526,986,93,18,3,High,Medium,Medium,High,Better,Excellent,1,10,2,0,7,No,0,2,3,No,10
422,Female,29,Married,Doctor,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,2546,18300,408,71,16,25,Medium,High,Medium,Medium,Best,Excellent,5,6,2,1,1,No,0,2,1,Yes,2
423,Male,19,Single,College,Technical Degree,Human Resources,Human Resources,Travel_Rarely,2564,18437,489,52,12,2,High,Low,Medium,Very High,Best,Excellent,1,1,0,0,0,No,0,3,1,Yes,1
424,Female,30,Married,Master,Other,Sales,Sales Executive,Non-Travel,8412,2890,1398,69,11,22,High,High,High,Low,Better,Excellent,0,10,8,7,8,No,0,3,3,No,9
425,Male,57,Divorced,Bachelor,Marketing,Sales,Manager,Travel_Rarely,14118,22102,210,56,12,29,High,Low,Medium,Very High,Good,Excellent,3,32,0,0,0,No,1,3,4,No,1
426,Male,50,Married,Master,Life Sciences,Research & Development,Manager,Travel_Rarely,17046,9314,1099,88,15,29,Medium,Medium,Medium,High,Better,Excellent,0,28,10,15,7,No,1,2,4,No,27
427,Female,30,Single,Bachelor,Medical,Research & Development,Laboratory Technician,Non-Travel,2564,7181,1116,49,14,2,High,High,High,Very High,Good,Excellent,0,12,7,6,7,No,0,2,1,No,11
428,Female,60,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Frequently,10266,2845,1499,80,19,28,Very High,High,Medium,Low,Best,Excellent,4,22,13,13,11,No,0,5,3,No,18
429,Female,47,Divorced,College,Medical,Research & Development,Manufacturing Director,Travel_Rarely,5070,7389,983,65,13,2,High,Low,High,Very High,Better,Excellent,5,20,0,0,4,No,3,2,2,No,5
430,Male,46,Married,Bachelor,Life Sciences,Research & Development,Research Director,Travel_Rarely,17861,2288,1009,51,13,2,High,Low,High,High,Bad,Excellent,6,26,2,0,1,No,0,2,4,No,3
431,Male,35,Single,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,4230,19225,144,46,15,22,High,Very High,Low,High,Better,Excellent,0,6,4,4,3,No,0,2,1,No,5
432,Female,54,Single,Master,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,3780,23428,548,42,11,8,High,High,High,High,Better,Excellent,7,19,0,0,0,No,0,3,2,No,1
433,Male,34,Divorced,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2768,8416,1303,62,12,2,High,Very High,Medium,High,Better,Excellent,3,14,3,5,7,No,1,3,1,No,7
434,Female,46,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,9071,11563,1125,94,19,10,High,High,Medium,Very High,Better,Excellent,2,15,2,1,2,Yes,1,3,3,No,3
435,Male,31,Divorced,Below College,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,10648,14394,1274,33,25,9,Very High,High,High,Medium,Best,Outstanding,1,13,8,0,8,No,1,6,3,No,13
436,Male,33,Married,Below College,Medical,Research & Development,Manager,Travel_Rarely,13610,24619,1277,56,12,15,Very High,Medium,High,High,Best,Excellent,7,15,6,7,7,Yes,0,2,3,Yes,7
437,Male,33,Divorced,Below College,Medical,Research & Development,Laboratory Technician,Travel_Rarely,3408,6705,587,38,13,10,Low,Low,Low,Very High,Better,Excellent,7,8,3,1,3,No,3,2,1,Yes,4
438,Male,30,Single,Below College,Marketing,Sales,Sales Representative,Travel_Rarely,2983,18398,413,57,14,7,Low,Very High,High,Medium,Better,Excellent,0,4,2,1,2,No,0,3,1,No,3
439,Male,35,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,7632,14295,1276,72,12,16,High,Very High,High,High,Better,Excellent,4,10,7,0,0,Yes,0,2,3,No,8
440,Male,31,Married,Bachelor,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,9824,22908,534,66,12,20,Low,Low,High,High,Better,Excellent,3,12,0,0,0,No,0,2,3,Yes,1
441,Female,34,Divorced,Bachelor,Human Resources,Human Resources,Human Resources,Travel_Frequently,9950,11533,988,43,15,23,High,Medium,High,Low,Better,Excellent,9,11,2,0,2,Yes,3,2,3,Yes,3
442,Male,42,Married,College,Other,Research & Development,Laboratory Technician,Travel_Frequently,2093,9260,1474,97,17,5,Very High,Medium,High,High,Better,Excellent,4,8,2,2,0,No,1,4,1,No,2
443,Male,36,Single,Master,Medical,Sales,Sales Executive,Non-Travel,9980,15318,635,32,14,10,Very High,Medium,High,Very High,Good,Excellent,1,10,3,9,7,No,0,3,3,No,10
444,Male,22,Single,Below College,Technical Degree,Research & Development,Laboratory Technician,Travel_Frequently,3894,9129,1368,99,16,4,High,High,Medium,High,Better,Excellent,5,4,2,1,2,No,0,3,1,Yes,2
445,Female,48,Married,Doctor,Marketing,Sales,Sales Executive,Travel_Rarely,4051,19658,163,37,14,2,Low,Medium,High,Very High,Better,Excellent,2,14,7,6,7,No,1,2,2,No,9
446,Female,55,Single,Doctor,Life Sciences,Sales,Manager,Travel_Rarely,16835,9873,1117,83,23,18,Very High,Low,High,Medium,Better,Outstanding,3,37,9,7,7,No,0,2,4,No,10
447,Male,41,Single,College,Life Sciences,Sales,Sales Executive,Non-Travel,6230,13430,267,56,14,10,Very High,Very High,High,Very High,Better,Excellent,7,16,3,1,10,No,0,3,2,No,14
448,Male,35,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,4717,18659,619,85,11,1,High,Medium,High,High,Better,Excellent,9,15,9,6,9,No,0,2,2,No,11
449,Female,40,Single,Bachelor,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,13237,20364,302,75,15,6,High,Medium,High,High,Better,Excellent,7,22,6,5,13,No,0,3,4,No,20
450,Female,39,Married,Below College,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,3755,17872,443,48,11,8,Low,High,High,High,Better,Excellent,1,8,3,0,7,No,1,3,1,No,8
451,Male,31,Single,Below College,Life Sciences,Sales,Sales Executive,Travel_Rarely,6582,8346,828,77,13,2,High,Medium,High,Very High,Best,Excellent,4,10,5,0,5,Yes,0,2,2,No,6
452,Male,42,Married,Bachelor,Medical,Research & Development,Manufacturing Director,Travel_Rarely,7406,6950,319,56,21,24,Very High,Very High,High,Low,Good,Outstanding,1,10,9,5,8,Yes,1,5,3,No,10
453,Male,45,Married,Bachelor,Other,Sales,Sales Executive,Travel_Rarely,4805,16177,561,61,19,2,Medium,Very High,High,Medium,Best,Excellent,0,9,7,3,7,No,1,3,2,No,8
454,Female,26,Divorced,Master,Life Sciences,Human Resources,Human Resources,Travel_Frequently,2741,22808,426,58,11,17,Medium,Medium,High,High,Good,Excellent,0,8,7,1,0,Yes,1,2,1,Yes,7
455,Male,29,Divorced,Bachelor,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,4262,22645,232,34,12,19,Medium,Very High,High,Very High,Best,Excellent,4,8,2,1,2,No,2,2,2,No,3
456,Female,33,Divorced,Doctor,Medical,Research & Development,Research Director,Travel_Rarely,16184,22578,922,95,19,1,High,Low,Very High,High,Better,Excellent,4,10,1,0,5,No,1,2,4,No,6
457,Male,31,Divorced,Bachelor,Life Sciences,Sales,Manager,Travel_Rarely,11557,25291,688,44,21,7,High,High,Medium,Very High,Good,Outstanding,9,10,4,0,1,No,1,3,3,No,5
458,Male,18,Single,Bachelor,Marketing,Sales,Sales Representative,Travel_Frequently,1878,8059,1306,69,14,5,Very High,Medium,High,Medium,Better,Excellent,1,0,0,0,0,Yes,0,3,1,Yes,0
459,Male,40,Divorced,Bachelor,Other,Sales,Sales Executive,Non-Travel,10932,11373,1094,58,15,28,High,High,Low,Low,Better,Excellent,3,20,0,0,1,No,1,2,3,No,1
460,Female,41,Single,Master,Other,Research & Development,Healthcare Representative,Non-Travel,6811,2112,509,62,17,2,Low,Low,Medium,High,Better,Excellent,2,10,7,0,7,Yes,0,3,2,No,8
461,Male,26,Divorced,College,Medical,Sales,Sales Executive,Travel_Rarely,4306,4267,775,45,12,29,Low,Low,High,High,Better,Excellent,5,8,0,0,0,No,2,5,2,No,0
462,Female,35,Single,Bachelor,Medical,Sales,Sales Executive,Travel_Rarely,4859,6698,195,80,16,1,Very High,Low,High,High,Better,Excellent,1,5,4,0,3,No,0,3,2,No,5
463,Male,34,Single,Master,Life Sciences,Sales,Sales Executive,Travel_Rarely,5337,19921,258,74,12,21,Very High,Very High,Very High,Very High,Better,Excellent,1,10,7,5,7,No,0,3,2,No,10
464,Male,26,Single,Bachelor,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,2340,23213,471,66,18,24,Medium,High,Low,Very High,Bad,Excellent,1,1,0,0,0,Yes,0,3,1,Yes,1
465,Female,37,Single,Bachelor,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,7491,23848,799,59,17,1,Very High,Medium,High,Very High,Best,Excellent,4,12,5,1,2,No,0,3,3,No,6
466,Female,46,Married,Below College,Medical,Research & Development,Healthcare Representative,Travel_Frequently,10527,8984,1034,86,11,18,Very High,Low,High,High,Good,Excellent,5,28,2,1,2,No,0,3,3,No,2
467,Female,41,Married,Doctor,Life Sciences,Sales,Manager,Travel_Rarely,16595,5626,1276,91,16,2,Medium,Medium,High,Low,Better,Excellent,7,22,16,11,8,No,1,2,4,No,18
468,Male,37,Divorced,Master,Medical,Sales,Sales Executive,Non-Travel,8834,24666,142,69,13,9,Very High,Low,High,Medium,Better,Excellent,1,9,5,7,7,No,1,6,3,No,9
469,Male,52,Divorced,College,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,5577,22087,956,78,12,6,Medium,Very High,High,Low,Better,Excellent,3,18,9,6,9,Yes,2,3,2,No,10
470,Male,32,Married,Master,Other,Sales,Sales Executive,Non-Travel,4707,23914,1474,60,12,11,Very High,Very High,Very High,High,Better,Excellent,8,6,2,1,2,No,0,2,2,Yes,4
471,Male,24,Married,Bachelor,Medical,Sales,Sales Representative,Travel_Frequently,2400,5530,535,38,13,24,High,Very High,High,Very High,Better,Excellent,0,3,2,2,1,No,2,3,1,No,2
472,Female,38,Married,Bachelor,Medical,Research & Development,Healthcare Representative,Travel_Rarely,9824,22174,1495,76,19,10,High,High,High,High,Better,Excellent,3,18,0,0,0,No,1,4,2,No,1
473,Female,37,Married,Master,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,6447,15701,446,65,12,1,Medium,Medium,High,Medium,Good,Excellent,6,8,5,4,3,No,1,2,2,No,6
474,Male,49,Divorced,Master,Life Sciences,Research & Development,Research Director,Travel_Rarely,19502,2125,1245,58,17,18,High,Very High,Medium,High,Better,Excellent,1,31,9,0,9,Yes,1,5,5,No,31
475,Male,24,Married,Bachelor,Medical,Research & Development,Research Scientist,Travel_Rarely,2725,21630,691,89,11,23,Medium,Medium,Very High,Very High,Better,Excellent,1,6,5,1,4,Yes,2,3,1,No,6
476,Male,26,Married,College,Marketing,Sales,Sales Executive,Travel_Rarely,6272,7428,703,66,20,28,Very High,Low,High,Medium,Best,Outstanding,1,6,3,1,4,No,2,5,2,No,5
477,Male,24,Married,College,Other,Research & Development,Laboratory Technician,Travel_Rarely,2127,9100,823,94,21,17,Very High,Very High,Medium,Medium,Better,Outstanding,1,1,0,0,0,No,1,2,1,No,1
478,Male,50,Married,Bachelor,Medical,Human Resources,Manager,Travel_Frequently,18200,7999,1246,99,11,3,High,Low,High,Medium,Better,Excellent,1,32,5,10,7,No,1,2,5,No,32
479,Male,25,Married,Below College,Medical,Sales,Sales Representative,Travel_Rarely,2096,26376,622,40,11,13,High,Medium,High,High,Better,Excellent,1,7,4,0,6,No,0,1,1,No,7
480,Female,24,Married,Bachelor,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,2886,14168,1287,55,16,7,Very High,Low,High,High,Better,Excellent,1,6,3,1,2,Yes,1,4,1,Yes,6
481,Male,30,Married,Master,Life Sciences,Sales,Sales Representative,Travel_Frequently,2033,14470,448,74,18,12,High,Medium,Medium,Low,Best,Excellent,1,1,0,0,0,No,1,2,1,Yes,1
482,Male,34,Married,College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,3622,22794,254,83,13,1,Very High,Medium,Medium,Very High,Better,Excellent,1,6,5,1,3,Yes,1,3,1,No,6
483,Male,31,Divorced,Master,Medical,Sales,Sales Executive,Travel_Rarely,4233,11512,1365,46,17,13,High,Medium,High,Low,Bad,Excellent,2,9,1,1,2,No,0,2,2,Yes,3
484,Male,35,Single,College,Other,Research & Development,Laboratory Technician,Travel_Rarely,3681,14004,538,54,14,25,Very High,Low,Medium,Very High,Better,Excellent,4,9,2,0,2,No,0,3,2,No,3
485,Male,31,Divorced,Master,Medical,Sales,Sales Executive,Travel_Rarely,5460,6219,525,66,22,6,Very High,Low,Very High,Very High,Best,Outstanding,4,13,7,5,7,No,2,4,2,No,7
486,Female,27,Divorced,Master,Medical,Research & Development,Research Scientist,Travel_Rarely,2187,5013,798,66,12,6,High,Low,Medium,High,Good,Excellent,0,6,3,0,3,No,2,5,1,No,5
487,Male,37,Married,Bachelor,Marketing,Sales,Sales Executive,Travel_Rarely,9602,3010,558,75,11,2,High,Very High,High,High,Good,Excellent,4,17,0,1,0,Yes,1,3,2,No,3
488,Female,20,Single,Bachelor,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2836,11757,959,83,13,1,Very High,Very High,Medium,Medium,Best,Excellent,1,1,0,0,0,No,0,0,1,No,1
489,Female,42,Married,Master,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,4089,5718,622,81,13,2,Medium,High,High,Very High,Better,Excellent,1,10,2,2,2,No,2,4,2,No,10
490,Male,43,Divorced,Master,Other,Research & Development,Research Director,Travel_Rarely,16627,2671,782,50,14,6,High,Medium,Medium,Very High,Good,Excellent,4,21,0,0,0,Yes,1,3,4,No,1
491,Female,38,Single,Below College,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,2619,14561,362,43,17,1,Very High,High,High,Low,Good,Excellent,3,8,0,0,0,No,0,3,1,No,0
492,Male,43,Divorced,Doctor,Medical,Research & Development,Laboratory Technician,Travel_Frequently,5679,19627,1001,72,13,9,Medium,Very High,High,High,Better,Excellent,3,10,7,4,7,Yes,1,3,2,No,8
493,Female,48,Married,Master,Life Sciences,Research & Development,Manager,Travel_Rarely,15402,17997,1236,40,11,1,Low,Very High,Medium,Low,Bad,Excellent,7,21,2,0,2,No,1,3,4,No,3
494,Female,44,Single,Master,Life Sciences,Human Resources,Human Resources,Travel_Rarely,5985,26894,1112,50,11,1,Medium,Low,Medium,High,Best,Excellent,4,10,2,0,2,No,0,1,2,No,2
495,Female,34,Divorced,Bachelor,Technical Degree,Sales,Sales Representative,Travel_Rarely,2579,2912,204,31,18,14,Very High,High,High,High,Better,Excellent,1,8,2,0,6,Yes,2,3,1,No,8
496,Male,27,Divorced,Below College,Marketing,Sales,Sales Representative,Travel_Rarely,3041,16346,1420,85,11,2,Medium,High,High,Low,Better,Excellent,0,5,3,0,2,No,1,3,1,Yes,4
497,Male,21,Single,Below College,Technical Degree,Sales,Sales Representative,Travel_Rarely,3447,24444,1343,49,11,22,High,High,High,High,Better,Excellent,1,3,2,1,2,No,0,2,1,No,3
498,Male,44,Married,Master,Other,Research & Development,Manager,Travel_Rarely,19513,9358,1315,35,12,3,Low,Very High,High,Very High,Best,Excellent,4,26,2,0,1,Yes,1,2,5,No,2
499,Male,22,Married,Below College,Medical,Research & Development,Research Scientist,Travel_Rarely,2773,12145,604,69,20,6,Very High,Low,High,High,Better,Outstanding,0,3,2,2,2,No,0,3,1,No,2
500,Male,33,Divorced,Master,Marketing,Sales,Sales Executive,Travel_Rarely,7104,20431,1216,39,12,8,Very High,High,High,High,Better,Excellent,0,6,0,1,2,No,0,3,2,No,5
501,Female,32,Married,Master,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,6322,18089,646,92,12,9,Very High,Low,High,Very High,Good,Excellent,1,6,4,0,5,Yes,1,2,2,No,6
502,Female,30,Divorced,Bachelor,Medical,Research & Development,Research Scientist,Travel_Frequently,2083,22653,160,71,20,3,High,High,High,High,Better,Outstanding,1,1,0,0,0,No,1,2,1,No,1
503,Female,53,Single,Below College,Medical,Sales,Sales Executive,Travel_Rarely,8381,7507,238,34,20,1,Very High,Very High,High,Low,Best,Outstanding,7,18,7,8,10,No,0,2,2,No,14
